city,price,location,beds,baths,size,title,price_pkr,size_marla,neighbourhood,area,price_per_marla
karachi,55 Crore,"DHA Phase 8, DHA Defence",4.0,5.0,"1,000 Sq. Yd.",Ultra Luxury House On Sale Decent Finishes,550000000.0,39.54,DHA Phase 8,DHA Defence,13909964.59
karachi,3 Crore,"Bahadurabad, Gulshan-e-Iqbal Town",3.0,3.0,167 Sq. Yd.,Fully Renovated Like A New Flat,30000000.0,6.6,Bahadurabad,Gulshan-e-Iqbal Town,4545454.55
karachi,65 Lakh,"Gulistan-e-Jauhar - Block 20, Gulistan-e-Jauhar",2.0,2.0,111 Sq. Yd.,Flat for Sale. New Renovated Flat Block-20 Main Johar-Mor KHI,6500000.0,4.39,Gulistan-e-Jauhar - Block 20,Gulistan-e-Jauhar,1480637.81
karachi,1.7 Crore,"Bahria Sports City, Bahria Town Karachi",4.0,4.0,350 Sq. Yd.,350sq Yard 4Bed DDL Sports Villas With 100sq Yard BackY ard LAWN At LOWEST RATE Of MARKET,17000000.0,13.84,Bahria Sports City,Bahria Town Karachi,1228323.7
karachi,3.7 Crore,"Askari 6, Malir Cantonment",4.0,5.0,333 Sq. Yd.,Askari 6,37000000.0,13.17,Askari 6,Malir Cantonment,2809415.34
karachi,50 Crore,"DHA Phase 8, DHA Defence",4.0,5.0,"1,000 Sq. Yd.",Pair (500+500) Sq. Yards Brand New Bungalows For Sale in Phase 8 DHA Karachi,500000000.0,39.54,DHA Phase 8,DHA Defence,12645422.36
karachi,42 Crore,"DHA Phase 8, DHA Defence",6.0,7.0,666 Sq. Yd.,A MASTERPIECE IN CONTEMPORARY ARCHITECTURE 666 Yards Bungalow For Sale In Dha Phase 8 Karachi,420000000.0,26.33,DHA Phase 8,DHA Defence,15951386.25
karachi,8.5 Crore,"Emaar Crescent Bay, DHA Phase 8",4.0,6.0,355 Sq. Yd.,PREMIUM FULL SEA FACING 4 BEDROOMS APARTMENT IN CORAL TOWER EMAAR AVAILABLE FOR SALE,85000000.0,14.04,Emaar Crescent Bay,DHA Phase 8,6054131.05
karachi,2.75 Crore,"DHA Phase 8, DHA Defence",3.0,3.0,144 Sq. Yd.,Booking Available Apartment 3 Bed Dd Phase 8 For Sale,27500000.0,5.69,DHA Phase 8,DHA Defence,4833040.42
karachi,2.75 Crore,"Punjabi Saudagar Society Phase 2, Scheme 33 - Sector 50",5.0,5.0,120 Sq. Yd.,Urgent Sale Punjabi Saudagar Society Phase 2 House Sized 120 Square Yards Is Available,27500000.0,4.74,Punjabi Saudagar Society Phase 2,Scheme 33 - Sector 50,5801687.76
karachi,8.75 Crore,"Askari 5 - Sector H, Askari 5",5.0,5.0,375 Sq. Yd.,A West Open 375 Square Yards House Has Landed On Market In Askari 5 - Sector H Of Karachi,87500000.0,14.83,Askari 5 - Sector H,Askari 5,5900202.29
karachi,10.25 Crore,"Askari 5 - Sector H, Askari 5",5.0,5.0,427 Sq. Yd.,West Open House 427 Square Yards For sale In Askari 5 - Sector H,102500000.0,16.88,Askari 5 - Sector H,Askari 5,6072274.88
karachi,3.9 Crore,"Naya Nazimabad - Block D, Naya Nazimabad",3.0,3.0,120 Sq. Yd.,Naya Nazimabad 120SQ Yd One Unit Brand New Villa For Sale,39000000.0,4.74,Naya Nazimabad - Block D,Naya Nazimabad,8227848.1
karachi,4.1 Crore,"Askari 5 - Sector J, Askari 5",3.0,3.0,276 Sq. Yd.,Brand New-Semi Furnished 3Bedroom Apartment,41000000.0,10.91,Askari 5 - Sector J,Askari 5,3758020.16
karachi,3.75 Crore,"Askari 6, Malir Cantonment",4.0,4.0,333 Sq. Yd.,Prime Location Flat Sized 3000 Square Feet Is Available For Sale In Askari 6,37500000.0,13.17,Askari 6,Malir Cantonment,2847380.41
karachi,7.25 Crore,"Askari 6, Malir Cantonment",5.0,5.0,375 Sq. Yd.,Become Owner Of Your Prime Location House Today Which Is Centrally Located In Askari 6 In Karachi,72500000.0,14.83,Askari 6,Malir Cantonment,4888739.04
karachi,4.5 Crore,"Askari 5 - Sector J, Askari 5",3.0,4.0,300 Sq. Yd.,Brand New Semi-Furnished 3-Bedroom Apartment,45000000.0,11.86,Askari 5 - Sector J,Askari 5,3794266.44
karachi,3.95 Crore,"Askari 6, Malir Cantonment",4.0,4.0,333 Sq. Yd.,Get An Attractive Flat In Karachi Under Rs. 39500000,39500000.0,13.17,Askari 6,Malir Cantonment,2999240.7
karachi,11.5 Crore,"Falcon Complex New Malir, Malir",5.0,5.0,500 Sq. Yd.,Fair-Priced CORNER 500 Square Yards House Available In Falcon Complex New Malir,115000000.0,19.77,Falcon Complex New Malir,Malir,5816894.28
karachi,5.8 Crore,"Askari 6, Malir Cantonment",4.0,4.0,266 Sq. Yd.,266 Square Yards House Is Available In Affordable Price In Askari 6,58000000.0,10.52,Askari 6,Malir Cantonment,5513307.98
karachi,2.19 Crore,"Saadi Town - Block 4, Saadi Town",4.0,6.0,120 Sq. Yd.,Next To Corner House For Sale,21900000.0,4.74,Saadi Town - Block 4,Saadi Town,4620253.16
karachi,1.85 Crore,"Gulshan-e-Maymar - Sector Q, Gulshan-e-Maymar",4.0,5.0,120 Sq. Yd.,120 Sq Yard Brand New House,18500000.0,4.74,Gulshan-e-Maymar - Sector Q,Gulshan-e-Maymar,3902953.59
karachi,70 Lakh,"Defence View Phase 2, Defence View Society",2.0,2.0,89 Sq. Yd.,800 Square Feet Flat Is Available In Defence View Phase 2,7000000.0,3.52,Defence View Phase 2,Defence View Society,1988636.36
karachi,12.5 Crore,"DHA Phase 6, DHA Defence",6.0,6.0,400 Sq. Yd.,Ready To Buy A House 400 Square Yards In Karachi,125000000.0,15.81,DHA Phase 6,DHA Defence,7906388.36
karachi,39 Lakh,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122 Sq. Yd.,2 Beds Apartment For Sale. Bahria Heights.,3900000.0,4.82,Bahria Heights,Bahria Town Karachi,809128.63
karachi,55 Lakh,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106 Sq. Yd.,2 Beds Apartment For Sale,5500000.0,4.19,Bahria Apartments,Bahria Town Karachi,1312649.16
karachi,1.12 Crore,"Bahria Town - Ali Block, Bahria Town - Precinct 12",4.0,4.0,125 Sq. Yd.,Affordable House For Sale In Bahria Town - Ali Block,11200000.000000002,4.94,Bahria Town - Ali Block,Bahria Town - Precinct 12,2267206.48
karachi,1.55 Crore,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200 Sq. Yd.,Villa For Sale,15500000.0,7.91,Bahria Town - Precinct 10-A,Bahria Town Karachi,1959544.88
karachi,2.32 Crore,"Bahria Town - Precinct 8, Bahria Town Karachi",5.0,5.0,272 Sq. Yd.,House For Sale,23200000.0,10.75,Bahria Town - Precinct 8,Bahria Town Karachi,2158139.53
karachi,6.35 Crore,"Askari 6, Malir Cantonment",5.0,6.0,300 Sq. Yd.,DOUBLE ROAD ASKARI 6 SECTOR 4 CONFIRM HOUSE FOR SALE,63500000.0,11.86,Askari 6,Malir Cantonment,5354131.53
karachi,32 Crore,"DHA Phase 8, DHA Defence",4.0,5.0,"1,000 Sq. Yd.",Priced To Sell 1000 Yards Bungalow For Sale In DHA Phase 8 Karachi,320000000.0,39.54,DHA Phase 8,DHA Defence,8093070.31
karachi,25 Crore,"DHA Phase 8, DHA Defence",6.0,7.0,500 Sq. Yd.,Architectural Perfection Brand New 500 Yards Bungalow For Sale in DHA Phase 8 Karachi,250000000.0,19.77,DHA Phase 8,DHA Defence,12645422.36
karachi,7.1 Crore,"Askari 6, Malir Cantonment",5.0,5.0,375 Sq. Yd.,A Perfect Facing Park House Awaits You In Askari 6 Karachi,71000000.0,14.83,Askari 6,Malir Cantonment,4787592.72
karachi,8.45 Crore,"Askari 5 - Sector J, Askari 5",5.0,5.0,375 Sq. Yd.,This Is Your Chance To Buy East Open House In Askari 5 - Sector J Karachi,84500000.0,14.83,Askari 5 - Sector J,Askari 5,5697909.64
karachi,9.5 Crore,"Askari 5 - Sector G, Askari 5",5.0,5.0,500 Sq. Yd.,East Open Askari 5 - Sector G 500 Square Yards House Up For sale,95000000.0,19.77,Askari 5 - Sector G,Askari 5,4805260.5
karachi,4.35 Crore,"Askari 5 - Sector J, Askari 5",3.0,3.0,300 Sq. Yd.,Flat Sized 2700 Square Feet In Askari 5 - Sector J,43500000.0,11.86,Askari 5 - Sector J,Askari 5,3667790.89
karachi,4 Crore,"Askari 5 - Sector J, Askari 5",3.0,3.0,267 Sq. Yd.,A Flat Of 2400 Square Feet In Karachi,40000000.0,10.56,Askari 5 - Sector J,Askari 5,3787878.79
karachi,6.5 Crore,"Falcon Complex New Malir, Malir",5.0,5.0,350 Sq. Yd.,"In Falcon Complex New Malir Of Karachi, A 350 Square Yards House Is Available",65000000.0,13.84,Falcon Complex New Malir,Malir,4696531.79
karachi,4.28 Crore,"Askari 5 - Sector J, Askari 5",3.0,3.0,300 Sq. Yd.,"Pristine 7TH Floor Apartment with Views | 2700 Sq Ft West Open | Sector J, Askari 5, Malir Cantt",42800000.0,11.86,Askari 5 - Sector J,Askari 5,3608768.97
karachi,4.05 Crore,"Askari 5 - Sector J, Askari 5",3.0,3.0,300 Sq. Yd.,Highly Competitive Price: 3.90 Cr | 3-Bed DD Top Floor Apartment | Askari 5 Sector J,40500000.0,11.86,Askari 5 - Sector J,Askari 5,3414839.8
karachi,4 Crore,"Askari 6, Malir Cantonment",4.0,4.0,333 Sq. Yd.,You Can Find A Gorgeous Flat For sale In Askari 6,40000000.0,13.17,Askari 6,Malir Cantonment,3037205.77
karachi,3.9 Crore,"Askari 6, Malir Cantonment",4.0,4.0,367 Sq. Yd.,3.90 Crore | Massive 333 Sq. Yd. Luxury 4-Bed Apartment | Askari 6,39000000.0,14.51,Askari 6,Malir Cantonment,2687801.52
karachi,6.2 Crore,"Askari 6, Malir Cantonment",5.0,5.0,300 Sq. Yd.,West Open 300 Square Yards House For sale In Karachi,62000000.0,11.86,Askari 6,Malir Cantonment,5227655.99
karachi,7.5 Crore,"Falcon Complex New Malir, Malir",5.0,5.0,350 Sq. Yd.,Affordable House For sale In Falcon Complex New Malir,75000000.0,13.84,Falcon Complex New Malir,Malir,5419075.14
karachi,6.1 Crore,"Askari 6, Malir Cantonment",5.0,5.0,300 Sq. Yd.,Centrally Located House In Askari 6 Is Available For sale,61000000.0,11.86,Askari 6,Malir Cantonment,5143338.95
karachi,37.5 Lakh,"Korangi, Karachi",1.0,1.0,33 Sq. Yd.,"Solar Sky Tower Premium Apartments For Sale Korangi Coast, Gurd Chowk, Karachi",3750000.0,1.3,Korangi,Karachi,2884615.38
karachi,1 Crore,"DHA Phase 6, DHA Defence",1.0,2.0,50 Sq. Yd.,Brand New Fully Furnished With Lift Studio Apartment Available For Sale In Muslim Commercial,10000000.0,1.98,DHA Phase 6,DHA Defence,5050505.05
