city,price,location,beds,baths,size,title,price_pkr,size_marla,neighbourhood,area,price_per_marla
islamabad,2.9 Crore,"Airport Avenue Housing Society, Islamabad",6.0,6.0,12 Marla,12 Marla House For Sale In Rawalpindi Airport housing Society Nearby Islamabad highway Pakistan,29000000.0,12.0,Airport Avenue Housing Society,Islamabad,2416666.67
islamabad,4.15 Crore,"Zeta-1 Mall, GT Road",2.0,2.0,6.7 Marla,2 Bed Apartment,41500000.0,6.7,Zeta-1 Mall,GT Road,6194029.85
islamabad,10 Crore,"Karakoram Enclave 1, Islamabad",4.0,4.0,17.3 Marla,"Karakoram Enclave-1 F-11/1 Apartment For Sale In Reasonable Price Coved Area 3900 Sq. Ft 3 Side Corner Margalla Hills VIEW / MUREE View / SOUTH VIEW 4 Bedroom ,4 Bathroom ,TV Lounge ,D/D SQTR STORE 2 CAR PARKING REASONALABLE PRICE",100000000.0,17.3,Karakoram Enclave 1,Islamabad,5780346.82
islamabad,6.75 Crore,"G-13, Islamabad",6.0,6.0,8 Marla,G-13 Brand New Architect Design Double Storey House Size 30x60 200 Sq Yd Prime Location Complete Imported Fitting & Fixtures 5 Bedrooms Attached Stylish Bathrooms Double D/D Two American Style Kitchen Servant quarter Reasonable Price,67500000.0,8.0,G-13,Islamabad,8437500.0
islamabad,7.5 Crore,"F-11/1, F-11",3.0,4.0,11.8 Marla,F-11 BRAND NEW Beautiful Luxury Apartment FULLY FURNISHED APARTMENT 3 Bed Available For Sale Having Covered Area 2650 Sq Ft THREE Bedrooms THREE Bathrooms SQTR REASONABLE PRICE,75000000.0,11.8,F-11/1,F-11,6355932.2
islamabad,15 Crore,"Park Enclave 1, Park Enclave",6.0,6.0,1 Kanal,Park Enclave Cda Islamabad Brand New 500 Yard Architect Design Double Story House 6 Bedroom Attached Stylish Bathrooms Drawing Dinning Tvl American Style Kitchen Sqtr Reasonable Price,150000000.0,20.0,Park Enclave 1,Park Enclave,7500000.0
islamabad,8.25 Crore,"G-13, Islamabad",7.0,6.0,10.9 Marla,"G-13 Main Double Road Brand New Size 272 Yard Architect Design Double Storey House 6 Master Bedrooms Attached Stylish 6 Bathrooms 2 D/D 2 Tv Lounge, American Style Kitchen , SQTR Reasonable Price",82500000.0,10.9,G-13,Islamabad,7568807.34
islamabad,6.6 Crore,"DHA Phase 3 - Block B, DHA Defence Phase 3",5.0,6.0,1 Kanal,Get One Kanal House In DHA ISLAMABAD On Installments,66000000.0,20.0,DHA Phase 3 - Block B,DHA Defence Phase 3,3300000.0
islamabad,6.6 Crore,"DHA Phase 3 - Block B, DHA Defence Phase 3",5.0,6.0,1 Kanal,One Kanal House For Sale In DHA Phase 3 Islamabad,66000000.0,20.0,DHA Phase 3 - Block B,DHA Defence Phase 3,3300000.0
islamabad,6.6 Crore,"DHA Phase 3 - Block B, DHA Defence Phase 3",5.0,6.0,1 Kanal,One kanal Ultra Luxury Houses On Installments in DHA Islamabad,66000000.0,20.0,DHA Phase 3 - Block B,DHA Defence Phase 3,3300000.0
islamabad,7.25 Crore,"Soan Garden, Islamabad",7.0,7.0,1 Kanal,Beautiful House For Sale In Soan Gardens,72500000.0,20.0,Soan Garden,Islamabad,3625000.0
islamabad,1 Arab,"F-6/4, F-6",8.0,6.0,2.1 Kanal,F-6 Brand New House For Sale,1000000000.0,42.0,F-6/4,F-6,23809523.81
islamabad,5.5 Crore,"Top City 1 - Block D, Top City 1",4.0,4.0,10 Marla,Cornor House For Sale in Top City Islamabad,55000000.0,10.0,Top City 1 - Block D,Top City 1,5500000.0
